Date,TOTALDEMAND,Population,MinTemp,MaxTemp,SolarExp,wk_end,public_holiday,covid,year,month,day,Demand_GWh
2017-01-01,174464.51000000004,6244863,16.8,21.1,8.5,1,1,0,2017,1,1,174.46451000000005
2017-01-02,173014.93999999997,6244863,14.8,17.8,7.8,0,1,0,2017,1,2,173.01493999999997
2017-01-03,195129.48999999996,6244863,14.6,19.5,25.9,0,0,0,2017,1,3,195.12948999999998
2017-01-04,233213.58999999997,6244863,13.3,29.3,31.6,0,0,0,2017,1,4,233.21358999999995
2017-01-05,256159.69000000012,6244863,18.5,31.7,29.7,0,0,0,2017,1,5,256.1596900000001
2017-01-06,272617.47,6244863,18.3,35.2,30.1,0,0,0,2017,1,6,272.61746999999997
2017-01-07,269910.04,6244863,20.9,36.7,28.5,1,0,0,2017,1,7,269.91004
2017-01-08,245554.05000000002,6244863,28.0,33.1,29.3,1,0,0,2017,1,8,245.55405000000002
2017-01-09,232423.97999999998,6244863,18.5,24.4,14.3,0,0,0,2017,1,9,232.42397999999997
2017-01-10,240732.63999999996,6244863,17.7,26.2,28.6,0,0,0,2017,1,10,240.73263999999995
2017-01-11,223191.71,6244863,16.6,24.3,25.9,0,0,0,2017,1,11,223.19171
2017-01-12,237567.89,6244863,14.9,26.5,30.7,0,0,0,2017,1,12,237.56789
2017-01-13,222683.34999999995,6244863,17.5,28.8,1.3,0,0,0,2017,1,13,222.68334999999996
2017-01-14,177993.25000000006,6244863,15.2,23.5,16.5,1,0,0,2017,1,14,177.99325000000005
2017-01-15,180588.00000000003,6244863,15.2,21.5,22.7,1,0,0,2017,1,15,180.58800000000002
2017-01-16,241857.41000000003,6244863,12.2,32.7,30.5,0,0,0,2017,1,16,241.85741000000004
2017-01-17,281035.29999999993,6244863,16.4,37.8,25.5,0,0,0,2017,1,17,281.03529999999995
2017-01-18,222422.69999999995,6244863,15.6,20.8,27.5,0,0,0,2017,1,18,222.42269999999996
2017-01-19,224742.81999999998,6244863,11.0,23.4,29.7,0,0,0,2017,1,19,224.74281999999997
2017-01-20,215875.36999999997,6244863,16.1,20.8,13.2,0,0,0,2017,1,20,215.87536999999998
2017-01-21,193558.13999999998,6244863,15.3,22.6,25.1,1,0,0,2017,1,21,193.55813999999998
2017-01-22,206583.22,6244863,12.7,29.6,30.3,1,0,0,2017,1,22,206.58322
2017-01-23,282664.1099999999,6244863,17.8,36.7,19.2,0,0,0,2017,1,23,282.66410999999994
2017-01-24,231328.31999999995,6244863,19.1,22.0,27.6,0,0,0,2017,1,24,231.32831999999996
2017-01-25,223873.40000000005,6244863,13.5,21.1,29.8,0,0,0,2017,1,25,223.87340000000006
2017-01-26,197180.12000000002,6244863,16.4,21.2,16.9,0,1,0,2017,1,26,197.18012000000002
2017-01-27,225027.63999999998,6244863,17.0,23.6,29.3,0,0,0,2017,1,27,225.02764
2017-01-28,216673.06,6244863,15.0,29.2,29.2,1,0,0,2017,1,28,216.67306
2017-01-29,218041.16,6244863,15.1,27.0,29.4,1,0,0,2017,1,29,218.04116
2017-01-30,248585.9099999999,6244863,17.8,30.0,3.7,0,0,0,2017,1,30,248.5859099999999
2017-01-31,225726.02000000005,6244863,16.5,22.1,26.8,0,0,0,2017,1,31,225.72602000000003
2017-02-01,228267.45999999996,6244863,14.3,20.6,9.3,0,0,0,2017,2,1,228.26745999999997
2017-02-02,221338.53999999998,6244863,14.2,24.1,28.2,0,0,0,2017,2,2,221.33853999999997
